Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-2.76098981e-06	-2.76098981e-06	-2.76098981e-06	-2.76098981e-06	0	0	0	0	0	0	3
2	3	0	0.05	5.58487939e-08	-1.35257051e-06	-2.76098981e-06	5.58487939e-08	1.4084193e-06	0	0	0	0	0	3
3	3	0	0.075	-4.41810841e-08	-9.164407e-07	-2.76098981e-06	5.58487939e-08	1.84454911e-06	0	0	0	0	0	3
4	3	0	0.1	-3.83546557e-08	-6.96919189e-07	-2.76098981e-06	5.58487939e-08	2.06407062e-06	0	0	0	0	0	3
5	3	0	0.125	-7.02473697e-09	-5.58940299e-07	-2.76098981e-06	5.58487939e-08	2.20204951e-06	0	0	0	0	0	3
6	3	0	0.15	4.4804549e-09	-4.6503684e-07	-2.76098981e-06	5.58487939e-08	2.29595297e-06	0	0	0	0	0	3
7	3	0	0.175	-9.60232025e-09	-3.99974766e-07	-2.76098981e-06	5.58487939e-08	2.36101505e-06	0	0	0	0	0	3
8	3	0	0.2	2.24956892e-09	-3.49696724e-07	-2.76098981e-06	5.58487939e-08	2.41129309e-06	0	0	0	0	0	3
9	4	0	0.225	-5.5873517e-09	-3.11462349e-07	-2.76098981e-06	5.58487939e-08	2.44952746e-06	0	0	0	0	0	3
10	4	0	0.25	1.4907398e-09	-2.8016704e-07	-2.76098981e-06	5.58487939e-08	2.48082277e-06	0	0	0	0	0	3
11	4	0	0.275	-2.229727e-09	-2.54900012e-07	-2.76098981e-06	5.58487939e-08	2.5060898e-06	0	0	0	0	0	3
12	4	0	0.3	2.80567413e-09	-2.33424538e-07	-2.76098981e-06	5.58487939e-08	2.52756527e-06	0	0	0	0	0	3
13	4	0	0.325	2.27695681e-09	-2.15293654e-07	-2.76098981e-06	5.58487939e-08	2.54569616e-06	0	0	0	0	0	3
14	4	0	0.35	3.27834888e-09	-1.99681368e-07	-2.76098981e-06	5.58487939e-08	2.56130844e-06	0	0	0	0	0	3
15	4	0	0.375	-2.3287287e-07	-2.01894135e-07	-2.76098981e-06	5.58487939e-08	2.56130844e-06	0	0	0	0	0	3
16	4	0	0.4	-4.66972998e-08	-1.92194332e-07	-2.76098981e-06	5.58487939e-08	2.56879548e-06	0	0	0	0	0	3
17	5	0	0.425	6.47013977e-09	-1.80508187e-07	-2.76098981e-06	5.58487939e-08	2.58048162e-06	0	0	0	0	0	3
18	5	0	0.45	8.29353041e-09	-1.70019203e-07	-2.76098981e-06	5.58487939e-08	2.59097061e-06	0	0	0	0	0	3
