Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	101147.125	101147.125	101147.125	101147.125	0	0	0	0	0	0	3
2	3	0	0.05	101291.07	101219.098	101147.125	101291.07	71.9725543	0	0	0	0	0	3
3	3	0	0.075	101316.072	101251.423	101147.125	101316.072	104.297403	0	0	0	0	0	3
4	3	0	0.1	101323.846	101269.529	101147.125	101323.846	122.403351	0	0	0	0	0	3
5	3	0	0.125	101320.522	101279.727	101147.125	101323.846	132.602024	0	0	0	0	0	3
6	3	0	0.15	101321.538	101286.696	101147.125	101323.846	139.570507	0	0	0	0	0	3
7	3	0	0.175	101320.961	101291.591	101147.125	101323.846	144.465498	0	0	0	0	0	3
8	3	0	0.2	101322.049	101295.398	101147.125	101323.846	148.27273	0	0	0	0	0	3
9	4	0	0.225	101321.985	101298.352	101147.125	101323.846	151.226853	0	0	0	0	0	3
10	4	0	0.25	101322.573	101300.774	101147.125	101323.846	153.648952	0	0	0	0	0	3
11	4	0	0.275	101322.11	101302.714	101147.125	101323.846	155.588542	0	0	0	0	0	3
12	4	0	0.3	101322.115	101304.331	101147.125	101323.846	157.205282	0	0	0	0	0	3
13	4	0	0.325	101321.93	101305.684	101147.125	101323.846	158.559099	0	0	0	0	0	3
14	4	0	0.35	101321.851	101306.839	101147.125	101323.846	159.713835	0	0	0	0	0	3
15	4	0	0.375	101321.706	101307.83	101147.125	101323.846	160.704946	0	0	0	0	0	3
16	4	0	0.4	101321.648	101308.694	101147.125	101323.846	161.568547	0	0	0	0	0	3
17	5	0	0.425	101321.529	101309.449	101147.125	101323.846	162.323563	0	0	0	0	0	3
18	5	0	0.45	101321.52	101310.119	101147.125	101323.846	162.994172	0	0	0	0	0	3
19	5	0	0.475	101321.457	101310.716	101147.125	101323.846	163.590902	0	0	0	0	0	3
20	5	0	0.5	101321.517	101311.256	101147.125	101323.846	164.130932	0	0	0	0	0	3
21	5	0	0.525	101321.587	101319.979	101291.07	101323.846	32.7760873	0	0	0	0	0	3
22	5	0	0.55	101321.66	101321.509	101316.072	101323.846	7.77409584	0	0	0	0	0	3
23	5	0	0.575	101321.708	101321.791	101320.522	101323.846	3.32448038	0	0	0	0	0	3
24	5	0	0.6	101321.803	101321.688	101320.522	101322.573	2.0511226	0	0	0	0	0	3
25	5	0	0.625	101321.846	101321.755	101320.961	101322.573	1.61239347	0	0	0	0	0	3
26	5	0	0.65	101321.868	101321.771	101320.961	101322.573	1.61239347	0	0	0	0	0	3
27	6	0	0.675	101321.876	101321.817	101321.457	101322.573	1.11579256	0	0	0	0	0	3
28	6	0	0.7	101321.893	101321.809	101321.457	101322.573	1.11579256	0	0	0	0	0	3
29	6	0	0.725	101321.892	101321.804	101321.457	101322.573	1.11579256	0	0	0	0	0	3
30	6	0	0.75	101321.901	101321.771	101321.457	101322.115	0.657380934	0	0	0	0	0	3
31	6	0	0.775	101321.961	101321.763	101321.457	101322.115	0.657380934	0	0	0	0	0	3
32	6	0	0.8	101321.99	101321.757	101321.457	101321.99	0.532993568	0	0	0	0	0	3
33	6	0	0.825	101322.011	101321.761	101321.457	101322.011	0.553313203	0	0	0	0	0	3
34	6	0	0.85	101322.026	101321.77	101321.457	101322.026	0.568289559	0	0	0	0	0	3
35	6	0	0.875	101322.034	101321.786	101321.457	101322.034	0.576731577	0	0	0	0	0	3
36	6	0	0.9	101322.029	101321.805	101321.457	101322.034	0.576731577	0	0	0	0	0	3
37	7	0	0.925	101322.006	101321.829	101321.457	101322.034	0.576731577	0	0	0	0	0	3
38	7	0	0.95	101321.971	101321.852	101321.457	101322.034	0.576731577	0	0	0	0	0	3
39	7	0	0.975	101321.929	101321.875	101321.517	101322.034	0.51728349	0	0	0	0	0	3
40	7	0	1	101321.883	101321.894	101321.587	101322.034	0.446660659	1.16611438	0	100	0	0	3
41	7	0	1.025	101321.853	101321.907	101321.66	101322.034	0.37365445	1.16611438	0	100	0	0	3
42	7	0	1.05	101321.827	101321.915	101321.708	101322.034	0.226879408	1.16611438	0	100	0	0	3
43	7	0	1.075	101321.819	101321.921	101321.803	101322.034	0.230821033	1.16611438	0	100	0	0	3
44	7	0	1.1	101321.798	101321.915	101321.798	101322.034	0.232446699	1.16611438	0	100	0	0	3
45	7	0	1.125	101321.766	101321.913	101321.766	101322.034	0.166271408	1.16611438	0	100	0	0	3
46	8	0	1.15	101321.736	101321.908	101321.736	101322.034	0.163683787	1.16611438	0	100	0	0	3
47	8	0	1.175	101321.715	101321.901	101321.715	101322.034	0.163683787	1.16611438	0	100	0	0	3
48	8	0	1.2	101321.693	101321.892	101321.693	101322.034	0.163683787	1.16611438	0	100	0	0	3
49	8	0	1.225	101321.668	101321.881	101321.668	101322.034	0.163683787	1.16611438	0	100	0	0	3
50	8	0	1.25	101321.651	101321.87	101321.651	101322.034	0.163683787	1.16611438	0	100	0	0	3
51	8	0	1.275	101321.637	101321.857	101321.637	101322.034	0.163683787	1.16611438	0	100	0	0	3
52	8	0	1.3	101321.622	101321.841	101321.622	101322.034	0.163683787	1.16611438	0	100	0	0	3
53	8	0	1.325	101321.602	101321.823	101321.602	101322.034	0.159660762	1.16611438	0	100	0	0	3
