Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	293.198638	293.198638	293.198638	293.198638	0	0	0	0	0	0	3
2	3	0	0.05	293.19861	293.198624	293.19861	293.198638	1.39584693e-05	0	0	0	0	0	3
3	3	0	0.075	293.198599	293.198616	293.198599	293.198638	2.24088845e-05	0	0	0	0	0	3
4	3	0	0.1	293.19864	293.198622	293.198599	293.19864	2.24088845e-05	0	0	0	0	0	3
5	3	0	0.125	293.198651	293.198628	293.198599	293.198651	2.24088845e-05	0	0	0	0	0	3
6	3	0	0.15	293.198735	293.198646	293.198599	293.198735	2.9744253e-05	0	0	0	0	0	3
7	3	0	0.175	293.198808	293.198669	293.198599	293.198808	5.29060847e-05	0	0	0	0	0	3
8	3	0	0.2	293.198963	293.198706	293.198599	293.198963	8.96901055e-05	0	0	0	0	0	3
9	4	0	0.225	293.199116	293.198751	293.198599	293.199116	0.000135293305	0	0	0	0	0	3
10	4	0	0.25	293.199315	293.198808	293.198599	293.199315	0.000191668106	0	0	0	0	0	3
11	4	0	0.275	293.199637	293.198883	293.198599	293.199637	0.000267044997	0	0	0	0	0	3
12	4	0	0.3	293.199991	293.198975	293.198599	293.199991	0.000359355075	0	0	0	0	0	3
13	4	0	0.325	293.200346	293.199081	293.198599	293.200346	0.000464758075	0	0	0	0	0	3
14	4	0	0.35	293.200691	293.199196	293.198599	293.200691	0.000579792725	0	0	0	0	0	3
15	4	0	0.375	293.201012	293.199317	293.198599	293.201012	0.000700870707	0	0	0	0	0	3
16	4	0	0.4	293.201446	293.19945	293.198599	293.201446	0.000833939023	0	0	0	0	0	3
17	5	0	0.425	293.201815	293.199589	293.198599	293.201815	0.000973065429	0	0	0	0	0	3
18	5	0	0.45	293.202126	293.19973	293.198599	293.202126	0.00111398756	0	0	0	0	0	3
19	5	0	0.475	293.202387	293.19987	293.198599	293.202387	0.00125384801	0	0	0	0	0	3
20	5	0	0.5	293.202618	293.200007	293.198599	293.202618	0.00139127039	0	0	0	0	0	3
21	5	0	0.525	293.202922	293.200221	293.198599	293.202922	0.00160545333	0	0	0	0	0	3
22	5	0	0.55	293.203205	293.200451	293.198599	293.203205	0.00183518823	0	0	0	0	0	3
23	5	0	0.575	293.203462	293.200694	293.19864	293.203462	0.00207237192	0	0	0	0	0	3
24	5	0	0.6	293.203706	293.200948	293.198651	293.203706	0.00231984717	0	0	0	0	0	3
25	5	0	0.625	293.203936	293.201212	293.198735	293.203936	0.00256616196	0	0	0	0	0	3
26	5	0	0.65	293.204276	293.201489	293.198808	293.204276	0.00282003632	0	0	0	0	0	3
27	6	0	0.675	293.204598	293.201778	293.198963	293.204598	0.00307277398	0	0	0	0	0	3
28	6	0	0.7	293.204906	293.202076	293.199116	293.204906	0.00332429885	0	0	0	0	0	3
29	6	0	0.725	293.205192	293.202379	293.199315	293.205192	0.00357170929	0	0	0	0	0	3
30	6	0	0.75	293.20546	293.202687	293.199637	293.20546	0.00380356066	0	0	0	0	0	3
31	6	0	0.775	293.205802	293.202995	293.199991	293.205802	0.00401950462	0	0	0	0	0	3
32	6	0	0.8	293.206097	293.2033	293.200346	293.206097	0.00421940602	0	0	0	0	0	3
33	6	0	0.825	293.206344	293.2036	293.200691	293.206344	0.00440430941	0	0	0	0	0	3
34	6	0	0.85	293.20655	293.203893	293.201012	293.20655	0.00457615409	0	0	0	0	0	3
35	6	0	0.875	293.206724	293.204179	293.201446	293.206724	0.00472869603	0	0	0	0	0	3
36	6	0	0.9	293.206921	293.204452	293.201815	293.206921	0.00486330355	0	0	0	0	0	3
37	7	0	0.925	293.207074	293.204715	293.202126	293.207074	0.0049485768	0	0	0	0	0	3
38	7	0	0.95	293.207188	293.204968	293.202387	293.207188	0.00480122674	0	0	0	0	0	3
39	7	0	0.975	293.207277	293.205213	293.202618	293.207277	0.00465892052	0	0	0	0	0	3
40	7	0	1	293.207336	293.205449	293.202922	293.207336	0.00441422437	0.00131057895	0	29.6	0	0	3
41	7	0	1.025	293.207395	293.205672	293.203205	293.207395	0.00418993059	0.00131940319	0	31.4	0	0	3
42	7	0	1.05	293.207425	293.205883	293.203462	293.207425	0.00396256766	0.00132163015	0	33.3	0	0	3
43	7	0	1.075	293.207433	293.206082	293.203706	293.207433	0.00372691917	0.00132075938	0	35.4	0	0	3
44	7	0	1.1	293.207422	293.206146	293.203706	293.207433	0.00372691917	0.00131989889	0	35.4	0	0	3
45	7	0	1.125	293.207414	293.206322	293.203936	293.207433	0.00349743592	0.0013168593	0	37.6	0	0	3
46	8	0	1.15	293.2074	293.206487	293.204276	293.207433	0.00315728253	0.00131483291	0	41.6	0	0	3
47	8	0	1.175	293.207387	293.206635	293.204598	293.207433	0.00283503609	0.00131183113	0	46.2	0	0	3
48	8	0	1.2	293.207373	293.206768	293.204906	293.207433	0.00252760701	0.00131057895	0	51.8	0	0	3
49	8	0	1.225	293.207362	293.206885	293.205192	293.207433	0.00224152314	0.00131057895	0	58.4	0	0	3
50	8	0	1.25	293.207349	293.206987	293.20546	293.207433	0.00197374006	0.00131057895	0	66.4	0	0	3
51	8	0	1.275	293.207338	293.207077	293.205802	293.207433	0.00163145218	0.00131057895	0	80.3	0	0	3
52	8	0	1.3	293.207327	293.207149	293.206097	293.207433	0.00133649274	0.00131057895	0	98	0	0	3
53	8	0	1.325	293.207313	293.207207	293.206344	293.207433	0.00108899197	0.00131057895	0	100	0	0	3
