Iteration	CPUTime	PhysTime	Travels
1	2	0	0.025
2	3	0	0.05
3	3	0	0.075
4	3	0	0.1
5	3	0	0.125
6	3	0	0.15
7	3	0	0.175
8	3	0	0.2
9	4	0	0.225
10	4	0	0.25
11	4	0	0.275
12	4	0	0.3
13	4	0	0.325
14	4	0	0.35
15	4	0	0.375
16	4	0	0.4
17	5	0	0.425
18	5	0	0.45
19	5	0	0.475
20	5	0	0.5
21	5	0	0.525
22	5	0	0.55
23	5	0	0.575
24	5	0	0.6
25	5	0	0.625
26	5	0	0.65
27	6	0	0.675
28	6	0	0.7
29	6	0	0.725
30	6	0	0.75
31	6	0	0.775
32	6	0	0.8
33	6	0	0.825
34	6	0	0.85
35	6	0	0.875
36	6	0	0.9
37	7	0	0.925
38	7	0	0.95
39	7	0	0.975
40	7	0	1
41	7	0	1.025
42	7	0	1.05
43	7	0	1.075
44	7	0	1.1
45	7	0	1.125
46	8	0	1.15
47	8	0	1.175
48	8	0	1.2
49	8	0	1.225
50	8	0	1.25
51	8	0	1.275
52	8	0	1.3
53	8	0	1.325
